問題,解答,イラストファイル名,イラスト内容説明
高知平野が冬や春でも野菜を出荷できるように、日照時間が長いことを生かして行う栽培方法は何といいますか？,促成栽培,ビニールハウス_P3.png,促成栽培に使われるビニールハウスのイラスト
収穫された野菜は出荷場に集められ、大きさや形ごとに分けられた後、保冷装置のついた何に積み込まれ、大都市へと運ばれますか？,トラック,,
高知平野から東京や大阪などの大都市へ野菜を運ぶ際に利用されるものは何ですか？,四国と本州を結ぶ橋です。,,
この地図を見て、夏の季節風が山地をこえてくることで、その地域の降水量はどうなっていますか？,少なくなっています。,四国・中部地方降水量地図_P1.png,四国地方と中部地方の一部における8月の降水量を示す地図
夏には水蒸気を多くふくんだ季節風が、太平洋側に雨を降らせた後、山地をこえるとどうなりますか？,水蒸気が少なくなった風となり、その地域の降水量は少なくなります。,,
この地図で示されている場所は何ですか？,甲府盆地,甲府盆地の位置_P2.png,山梨県内における甲府盆地の位置を示す地図
盆地とはどのような地形ですか？,まわりを山に囲まれた平らな土地です。,,
甲府盆地を流れる川の一つは何ですか？,笛吹川です。,,
甲府盆地の気候の特色として、雨と日照時間はそれぞれどうなっていますか？,雨が少なく、日照時間が長いことが特色です。,,
かつて甲府盆地でさかんだった産業は何ですか？,養蚕,,
現在、甲府盆地で力を入れられている産業は何ですか？,くだものづくり,,
扇状地について説明しなさい。,砂や小石がつもってできた土地です。,,
養蚕とはどのようなことを指しますか？,かいこを飼育し、繭や生糸を生産することです。,,
絹の原料となるものは何ですか？,生糸です。,,
生糸の原料となるのは何ですか？,蚕です。,,
かつての甲府盆地で、蚕のえさとして多く植えられていた植物は何ですか？,くわです。,,
生糸の売れ行きが落ちた後、甲府盆地の人々は何づくりに力を入れるようになりましたか？,ぶどうづくりです。,,
山梨県で、ぶどうの他にさかんになったくだものづくりは何ですか？,ももづくりです。,,
山梨県が日本一の生産量を誇る2つのくだものは何ですか？,ぶどうと桃です。,,
盆地の気候や地形は、くだものの栽培にどのように適していましたか？,日照時間が長く、昼と夜の気温差が大きいためです。,,
ぶどうの栽培で、日本では棚に実らせて栽培する方法が中心ですが、盆地の雨が少ない気候でもぶどうにとって湿度が高い場合、病気を防ぐためにどのような工夫をしていますか？,風を通すことです。,ぶどうの栽培_P3.png,棚に実らせて栽培するぶどう畑と人物
ところてんの原料となる海藻は何ですか？,テングサです。,,
テングサの主な産地である都道府県や諸島は何ですか？,愛媛県、静岡県、東京都の伊豆諸島などです。,,
寒天は、テングサを煮詰めてからろ過し、固めたもの（ところてん）を、どのような方法で作られますか？,寒いところで凍らせ、その後太陽の光で乾燥させることで作られます。,,
この地図を見て、長野県の諏訪盆地が寒天づくりに適している理由は何ですか？,冬は乾燥しているうえに、昼と夜の気温差が大きいからです。,諏訪盆地と伊豆半島地図_P3.png,諏訪盆地と伊豆半島、およびその間の運搬ルートを示す地図
静岡県の伊豆半島でとれたテングサは、どこまで運ばれて寒天になっているのですか？,長野県です。,,
香川県は雨が少ない気候でしたが、かつて海水から塩をとるために何が多くありましたか？,塩田です。,,
この図を見て、日本各地にあった海岸部と内陸部を結ぶ道は何と呼ばれていましたか？,塩の道です。,塩の道_P3.png,塩の道を示す概念図
塩の道は、内陸部の人々にはどのような品物を、海岸部の人々にはどのような品物を運ぶ道でしたか？,内陸部の人々には塩や魚を、海岸部の人々には木材や炭、山でとれた食料などを運ぶ道でした。,,
甲府盆地の気候の特色として、1年を通して降水量はどうなっていますか？,少ないです。,,
甲府盆地の気候の特色として、冬と夏の気温差はどうなっていますか？,大きいです。,,
このグラフが示す、山梨県で生産がさかんなくだものの名前は何ですか？,ぶどうです。,グラフ1_P4.png,山梨県で生産がさかんなくだもの（ぶどう）の都道府県別生産量割合グラフ
このグラフが示す、山梨県で生産がさかんなくだものの名前は何ですか？,ももです。,グラフ2_P4.png,山梨県で生産がさかんなくだもの（もも）の都道府県別生産量割合グラフ
この地形図が示している、四国地方でもっとも広い平野の一部分の名前は何ですか？,讃岐平野です。,讃岐平野地形図_P5.png,四国地方の讃岐平野の一部を示す地形図
この地形図のなかで多く見られる池のことをとくに何といいますか？,ため池です。,讃岐平野地形図_P5.png,四国地方の讃岐平野の一部を示す地形図
この地域に、ため池が多く見られる理由を、この地域の気候の特色にふれながら説明しなさい。,この地域は雨が少ない気候のため、水をためておく必要があったからです。,讃岐平野地形図_P5.png,四国地方の讃岐平野の一部を示す地形図
この地図の①の都道府県庁所在地は何ですか？,新潟です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の②の都道府県庁所在地は何ですか？,富山です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の③の都道府県庁所在地は何ですか？,山形です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の④の都道府県庁所在地は何ですか？,秋田です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の⑤の都道府県庁所在地は何ですか？,長野です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の⑥の都道府県庁所在地は何ですか？,福島です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の⑦の都道府県庁所在地は何ですか？,茨城です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の⑧の都道府県庁所在地は何ですか？,静岡です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
この地図の⑨の都道府県庁所在地は何ですか？,愛知です。,都道府県庁所在地チェック地図_P6.png,日本の地図上に番号で示された都道府県庁所在地
